t1,t2,t3,t4,t5,t6,t7,t8,t9,pre
29,29,41,41,31,31,29,29,29,29
29,41,41,31,31,29,29,29,29,42
41,41,31,31,29,29,29,29,42,42
41,31,31,29,29,29,29,42,42,29
31,31,29,29,29,29,42,42,29,29
31,29,29,29,29,42,42,29,29,29
29,29,29,29,42,42,29,29,29,29
29,29,29,42,42,29,29,29,29,41
29,29,42,42,29,29,29,29,41,41
29,42,42,29,29,29,29,41,41,29
42,42,29,29,29,29,41,41,29,29
42,29,29,29,29,41,41,29,29,42
29,29,29,29,41,41,29,29,42,42
29,29,29,41,41,29,29,42,42,29
29,29,41,41,29,29,42,42,29,29
29,41,41,29,29,42,42,29,29,41
41,41,29,29,42,42,29,29,41,41
41,29,29,42,42,29,29,41,41,29
29,29,42,42,29,29,41,41,29,29
29,42,42,29,29,41,41,29,29,29
42,42,29,29,41,41,29,29,29,29
42,29,29,41,41,29,29,29,29,29
29,29,41,41,29,29,29,29,29,29
29,41,41,29,29,29,29,29,29,42
41,41,29,29,29,29,29,29,42,42
41,29,29,29,29,29,29,42,42,29
29,29,29,29,29,29,42,42,29,29
29,29,29,29,29,42,42,29,29,41
29,29,29,29,42,42,29,29,41,41
29,29,29,42,42,29,29,41,41,29
29,29,42,42,29,29,41,41,29,42
29,42,42,29,29,41,41,29,42,30
42,42,29,29,41,41,29,42,30,29
42,29,29,41,41,29,42,30,29,42
29,29,41,41,29,42,30,29,42,30
29,41,41,29,42,30,29,42,30,30
41,41,29,42,30,29,42,30,30,29
41,29,42,30,29,42,30,30,29,29
29,42,30,29,42,30,30,29,29,29
42,30,29,42,30,30,29,29,29,29
30,29,42,30,30,29,29,29,29,41
29,42,30,30,29,29,29,29,41,30
42,30,30,29,29,29,29,41,30,30
30,30,29,29,29,29,41,30,30,42
30,29,29,29,29,41,30,30,42,42
29,29,29,29,41,30,30,42,42,29
29,29,29,41,30,30,42,42,29,29
29,29,41,30,30,42,42,29,29,31
29,41,30,30,42,42,29,29,31,29
41,30,30,42,42,29,29,31,29,29
30,30,42,42,29,29,31,29,29,29
30,42,42,29,29,31,29,29,29,29
42,42,29,29,31,29,29,29,29,29
42,29,29,31,29,29,29,29,29,29
29,29,31,29,29,29,29,29,29,29
29,31,29,29,29,29,29,29,29,41
31,29,29,29,29,29,29,29,41,30
29,29,29,29,29,29,29,41,30,30
29,29,29,29,29,29,41,30,30,29
29,29,29,29,29,41,30,30,29,29
29,29,29,29,41,30,30,29,29,29
29,29,29,41,30,30,29,29,29,29
29,29,41,30,30,29,29,29,29,29
29,41,30,30,29,29,29,29,29,29
41,30,30,29,29,29,29,29,29,29
30,30,29,29,29,29,29,29,29,29
30,29,29,29,29,29,29,29,29,41
29,29,29,29,29,29,29,29,41,41
29,29,29,29,29,29,29,41,41,29
29,29,29,29,29,29,41,41,29,29
29,29,29,29,29,41,41,29,29,41
29,29,29,29,41,41,29,29,41,41
29,29,29,41,41,29,29,41,41,29
29,29,41,41,29,29,41,41,29,29
29,41,41,29,29,41,41,29,29,29
41,41,29,29,41,41,29,29,29,29
41,29,29,41,41,29,29,29,29,41
29,29,41,41,29,29,29,29,41,41
29,41,41,29,29,29,29,41,41,29
41,41,29,29,29,29,41,41,29,29
41,29,29,29,29,41,41,29,29,41
29,29,29,29,41,41,29,29,41,41
29,29,29,41,41,29,29,41,41,29
29,29,41,41,29,29,41,41,29,29
29,41,41,29,29,41,41,29,29,41
41,41,29,29,41,41,29,29,41,41
41,29,29,41,41,29,29,41,41,29
29,29,41,41,29,29,41,41,29,29
29,41,41,29,29,41,41,29,29,40
41,41,29,29,41,41,29,29,40,40
41,29,29,41,41,29,29,40,40,29
29,29,41,41,29,29,40,40,29,29
29,41,41,29,29,40,40,29,29,29
41,41,29,29,40,40,29,29,29,29
41,29,29,40,40,29,29,29,29,30
29,29,40,40,29,29,29,29,30,30
29,40,40,29,29,29,29,30,30,29
40,40,29,29,29,29,30,30,29,29
40,29,29,29,29,30,30,29,29,40
29,29,29,29,30,30,29,29,40,40
29,29,29,30,30,29,29,40,40,30
29,29,30,30,29,29,40,40,30,30
29,30,30,29,29,40,40,30,30,29
30,30,29,29,40,40,30,30,29,29
30,29,29,40,40,30,30,29,29,40
29,29,40,40,30,30,29,29,40,40
29,40,40,30,30,29,29,40,40,29
40,40,30,30,29,29,40,40,29,29
40,30,30,29,29,40,40,29,29,29
30,30,29,29,40,40,29,29,29,29
30,29,29,40,40,29,29,29,29,40
29,29,40,40,29,29,29,29,40,40
29,40,40,29,29,29,29,40,40,29
40,40,29,29,29,29,40,40,29,29
40,29,29,29,29,40,40,29,29,40
29,29,29,29,40,40,29,29,40,40
29,29,29,40,40,29,29,40,40,29
29,29,40,40,29,29,40,40,29,41
29,40,40,29,29,40,40,29,41,29
40,40,29,29,40,40,29,41,29,41
40,29,29,40,40,29,41,29,41,29
29,29,40,40,29,41,29,41,29,29
29,40,40,29,41,29,41,29,29,29
40,40,29,41,29,41,29,29,29,29
40,29,41,29,41,29,29,29,29,29
29,41,29,41,29,29,29,29,29,40
41,29,41,29,29,29,29,29,40,29
29,41,29,29,29,29,29,40,29,40
41,29,29,29,29,29,40,29,40,29
29,29,29,29,29,40,29,40,29,29
29,29,29,29,40,29,40,29,29,29
29,29,29,40,29,40,29,29,29,41
29,29,40,29,40,29,29,29,41,41
29,40,29,40,29,29,29,41,41,29
40,29,40,29,29,29,41,41,29,29
29,40,29,29,29,41,41,29,29,40
40,29,29,29,41,41,29,29,40,40
29,29,29,41,41,29,29,40,40,29
29,29,41,41,29,29,40,40,29,29
29,41,41,29,29,40,40,29,29,29
41,41,29,29,40,40,29,29,29,29
41,29,29,40,40,29,29,29,29,29
29,29,40,40,29,29,29,29,29,29
29,40,40,29,29,29,29,29,29,29
40,40,29,29,29,29,29,29,29,29
40,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,39
29,29,29,29,29,29,29,29,39,29
29,29,29,29,29,29,29,39,29,29
29,29,29,29,29,29,39,29,29,29
29,29,29,29,29,39,29,29,29,29
29,29,29,29,39,29,29,29,29,39
29,29,29,39,29,29,29,29,39,38
29,29,39,29,29,29,29,39,38,39
29,39,29,29,29,29,39,38,39,29
39,29,29,29,29,39,38,39,29,40
29,29,29,29,39,38,39,29,40,29
29,29,29,39,38,39,29,40,29,29
29,29,39,38,39,29,40,29,29,39
29,39,38,39,29,40,29,29,39,39
39,38,39,29,40,29,29,39,39,29
38,39,29,40,29,29,39,39,29,29
39,29,40,29,29,39,39,29,29,29
29,40,29,29,39,39,29,29,29,39
40,29,29,39,39,29,29,29,39,29
29,29,39,39,29,29,29,39,29,39
29,39,39,29,29,29,39,29,39,29
39,39,29,29,29,39,29,39,29,39
39,29,29,29,39,29,39,29,39,29
29,29,29,39,29,39,29,39,29,39
29,29,39,29,39,29,39,29,39,39
29,39,29,39,29,39,29,39,39,29
39,29,39,29,39,29,39,39,29,29
29,39,29,39,29,39,39,29,29,29
39,29,39,29,39,39,29,29,29,29
29,39,29,39,39,29,29,29,29,29
39,29,39,39,29,29,29,29,29,29
29,39,39,29,29,29,29,29,29,29
39,39,29,29,29,29,29,29,29,29
39,29,29,29,29,29,29,29,29,39
29,29,29,29,29,29,29,29,39,39
29,29,29,29,29,29,29,39,39,29
29,29,29,29,29,29,39,39,29,29
29,29,29,29,29,39,39,29,29,29
29,29,29,29,39,39,29,29,29,29
29,29,29,39,39,29,29,29,29,29
29,29,39,39,29,29,29,29,29,29
29,39,39,29,29,29,29,29,29,29
39,39,29,29,29,29,29,29,29,29
39,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,39
29,29,29,29,29,29,29,29,39,29
29,29,29,29,29,29,29,39,29,29
29,29,29,29,29,29,39,29,29,29
29,29,29,29,29,39,29,29,29,39
29,29,29,29,39,29,29,29,39,29
29,29,29,39,29,29,29,39,29,29
29,29,39,29,29,29,39,29,29,29
29,39,29,29,29,39,29,29,29,29
39,29,29,29,39,29,29,29,29,38
29,29,29,39,29,29,29,29,38,39
29,29,39,29,29,29,29,38,39,29
29,39,29,29,29,29,38,39,29,39
39,29,29,29,29,38,39,29,39,29
29,29,29,29,38,39,29,39,29,39
29,29,29,38,39,29,39,29,39,29
29,29,38,39,29,39,29,39,29,38
29,38,39,29,39,29,39,29,38,39
38,39,29,39,29,39,29,38,39,29
39,29,39,29,39,29,38,39,29,30
29,39,29,39,29,38,39,29,30,30
39,29,39,29,38,39,29,30,30,29
29,39,29,38,39,29,30,30,29,29
39,29,38,39,29,30,30,29,29,38
29,38,39,29,30,30,29,29,38,30
38,39,29,30,30,29,29,38,30,29
39,29,30,30,29,29,38,30,29,30
29,30,30,29,29,38,30,29,30,30
30,30,29,29,38,30,29,30,30,29
30,29,29,38,30,29,30,30,29,29
29,29,38,30,29,30,30,29,29,29
29,38,30,29,30,30,29,29,29,38
38,30,29,30,30,29,29,29,38,38
30,29,30,30,29,29,29,38,38,29
29,30,30,29,29,29,38,38,29,29
30,30,29,29,29,38,38,29,29,38
30,29,29,29,38,38,29,29,38,38
29,29,29,38,38,29,29,38,38,29
29,29,38,38,29,29,38,38,29,29
29,38,38,29,29,38,38,29,29,38
38,38,29,29,38,38,29,29,38,38
38,29,29,38,38,29,29,38,38,29
29,29,38,38,29,29,38,38,29,29
29,38,38,29,29,38,38,29,29,29
38,38,29,29,38,38,29,29,29,29
38,29,29,38,38,29,29,29,29,29
29,29,38,38,29,29,29,29,29,29
29,38,38,29,29,29,29,29,29,29
38,38,29,29,29,29,29,29,29,29
38,29,29,29,29,29,29,29,29,38
29,29,29,29,29,29,29,29,38,29
29,29,29,29,29,29,29,38,29,38
29,29,29,29,29,29,38,29,38,38
29,29,29,29,29,38,29,38,38,29
29,29,29,29,38,29,38,38,29,38
29,29,29,38,29,38,38,29,38,38
29,29,38,29,38,38,29,38,38,29
29,38,29,38,38,29,38,38,29,38
38,29,38,38,29,38,38,29,38,29
29,38,38,29,38,38,29,38,29,38
38,38,29,38,38,29,38,29,38,29
38,29,38,38,29,38,29,38,29,29
29,38,38,29,38,29,38,29,29,29
38,38,29,38,29,38,29,29,29,37
38,29,38,29,38,29,29,29,37,29
29,38,29,38,29,29,29,37,29,38
38,29,38,29,29,29,37,29,38,29
29,38,29,29,29,37,29,38,29,29
38,29,29,29,37,29,38,29,29,37
29,29,29,37,29,38,29,29,37,37
29,29,37,29,38,29,29,37,37,29
29,37,29,38,29,29,37,37,29,29
37,29,38,29,29,37,37,29,29,29
29,38,29,29,37,37,29,29,29,29
38,29,29,37,37,29,29,29,29,29
29,29,37,37,29,29,29,29,29,29
29,37,37,29,29,29,29,29,29,29
37,37,29,29,29,29,29,29,29,29
37,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,29
29,29,29,29,29,29,29,29,29,30
29,29,29,29,29,29,29,29,30,30
29,29,29,29,29,29,29,30,30,37
29,29,29,29,29,29,30,30,37,37
29,29,29,29,29,30,30,37,37,29
29,29,29,29,30,30,37,37,29,29
29,29,29,30,30,37,37,29,29,37
29,29,30,30,37,37,29,29,37,37
29,30,30,37,37,29,29,37,37,29
30,30,37,37,29,29,37,37,29,29
30,37,37,29,29,37,37,29,29,37
37,37,29,29,37,37,29,29,37,37
37,29,29,37,37,29,29,37,37,37
29,29,37,37,29,29,37,37,37,37
29,37,37,29,29,37,37,37,37,29
37,37,29,29,37,37,37,37,29,29
37,29,29,37,37,37,37,29,29,29
29,29,37,37,37,37,29,29,29,29
29,37,37,37,37,29,29,29,29,36
37,37,37,37,29,29,29,29,36,36
37,37,37,29,29,29,29,36,36,29
37,37,29,29,29,29,36,36,29,29
37,29,29,29,29,36,36,29,29,36
29,29,29,29,36,36,29,29,36,36
29,29,29,36,36,29,29,36,36,29
29,29,36,36,29,29,36,36,29,29
29,36,36,29,29,36,36,29,29,37
36,36,29,29,36,36,29,29,37,37
36,29,29,36,36,29,29,37,37,37
29,29,36,36,29,29,37,37,37,37
29,36,36,29,29,37,37,37,37,29
36,36,29,29,37,37,37,37,29,29
36,29,29,37,37,37,37,29,29,29
29,29,37,37,37,37,29,29,29,29
29,37,37,37,37,29,29,29,29,36
37,37,37,37,29,29,29,29,36,36
37,37,37,29,29,29,29,36,36,29
37,37,29,29,29,29,36,36,29,29
37,29,29,29,29,36,36,29,29,36
29,29,29,29,36,36,29,29,36,36
29,29,29,36,36,29,29,36,36,29
29,29,36,36,29,29,36,36,29,29
29,36,36,29,29,36,36,29,29,30
36,36,29,29,36,36,29,29,30,30
36,29,29,36,36,29,29,30,30,36
29,29,36,36,29,29,30,30,36,36
29,36,36,29,29,30,30,36,36,29
36,36,29,29,30,30,36,36,29,29
36,29,29,30,30,36,36,29,29,36
29,29,30,30,36,36,29,29,36,36
29,30,30,36,36,29,29,36,36,29
30,30,36,36,29,29,36,36,29,29
30,36,36,29,29,36,36,29,29,30
36,36,29,29,36,36,29,29,30,30
36,29,29,36,36,29,29,30,30,36
29,29,36,36,29,29,30,30,36,36
29,36,36,29,29,30,30,36,36,29
36,36,29,29,30,30,36,36,29,29
36,29,29,30,30,36,36,29,29,29
29,29,30,30,36,36,29,29,29,29
29,30,30,36,36,29,29,29,29,36
30,30,36,36,29,29,29,29,36,36
30,36,36,29,29,29,29,36,36,29
36,36,29,29,29,29,36,36,29,29
36,29,29,29,29,36,36,29,29,30
29,29,29,29,36,36,29,29,30,30
29,29,29,36,36,29,29,30,30,29
29,29,36,36,29,29,30,30,29,29
